company_name,trade_name,tax_id,contact_name,contact_email,phone,description,sector,sub_sector,city,address,website,facebook,instagram,linkedin,logo_url,export_destinations,certifications,is_published,product_name,product_description,tariff_position
Asociacion Argentina de Brangus,Brangus,30572946211,Manuel Mateo,gerencia@brangus.org.ar,+54 9 11 58210295,"Marca comercial: Brangus.
Experiencia exportadora: Exportador frecuente (exporta regularmente).
Rubro: Ganadería y Genética.",Ganadería y Genética,,Ciudad de Buenos Aires - Recoleta,"Juncal 4450 Piso 6 Of. 1, CP 1425, Ciudad de Buenos Aires - Recoleta, Chaco",https://www.brangus.org.ar,,https://www.instagram.com/brangusargentina/,,https://drive.google.com/file/d/1yUJgyuHiFdbt075bthD1e8IaF12R4aAy/view,"Brasil, Paraguay, Uruguay, Bolivia | Interés: Asia, África y Medio Oriente",,true,"Genetica Bovina, Reproductores en pie, semen congelado o Embriones.","Genetica Bovina, Reproductores en pie, semen congelado o Embriones.",0102.21.00
Barbara Perez Salerno,Umami Sabores Únicos,27243745433,Barbara Perez Salerno,barbara@somosumami.com.ar,+54 9 379 4388489,"Marca comercial: Umami Sabores Únicos.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Rubro: Alimentos y Bebidas.",Alimentos y Bebidas,,Resistencia,"Monteagudo 1455, CP 3500, Resistencia, Chaco",https://www.somosumami.com.ar,https://www.facebook.com/umami.arg/,https://www.instagram.com/umami.arg/,https://www.linkedin.com/company/100473850/,https://drive.google.com/file/d/1SGStsm0uroHO_SfJB6MkEOwN7-DT8eQG/view,,,true,Chipá congelado sin gluten (5 variedades y 2 formatos) - Tostados de chipá congelado sin gluten,Chipá congelado sin gluten (5 variedades y 2 formatos) - Tostados de chipá congelado sin gluten,1905.90.90
Bioenenrgy S. a.,Bioenergy,30715092138,Isidoro Wojtun,ibw50@yahoo.com.ar,+54 9 362 4643566,"Marca comercial: Bioenergy.
Experiencia exportadora: Exportador esporádico (ha realizado alguna exportación en los últimos 5 años).
Cámaras/asociaciones: ADIMRA.
Rubro: Químicos / Chemicals.",Químicos,Chemicals,Fontana,"Comandante Fontana 3696, CP 3514, Fontana, Chaco",https://bioenergyweb.com.ar/,,https://www.instagram.com/bioenergysa/,https://www.linkedin.com/company/bioenergy-s-a/,,"Canadá, Paraguay, Brasil, Uruguay | Interés: Bolivia, Chile",Ninguna,true,Metil ester de ácido graso,Metil ester de ácido graso,8401.10
Bioenenrgy S. a.,Bioenergy,30715092138,Isidoro Wojtun,ibw50@yahoo.com.ar,+54 9 362 4643566,"Marca comercial: Bioenergy.
Experiencia exportadora: Exportador esporádico (ha realizado alguna exportación en los últimos 5 años).
Cámaras/asociaciones: ADIMRA.
Rubro: Químicos / Chemicals.",Químicos,Chemicals,Fontana,"Comandante Fontana 3696, CP 3514, Fontana, Chaco",https://bioenergyweb.com.ar/,,https://www.instagram.com/bioenergysa/,https://www.linkedin.com/company/bioenergy-s-a/,,"Canadá, Paraguay, Brasil, Uruguay | Interés: Bolivia, Chile",Ninguna,true,Calentador de aceite al vacío,Calentador de aceite al vacío,8419.19
Bioenenrgy S. a.,Bioenergy,30715092138,Isidoro Wojtun,ibw50@yahoo.com.ar,+54 9 362 4643566,"Marca comercial: Bioenergy.
Experiencia exportadora: Exportador esporádico (ha realizado alguna exportación en los últimos 5 años).
Cámaras/asociaciones: ADIMRA.
Rubro: Químicos / Chemicals.",Químicos,Chemicals,Fontana,"Comandante Fontana 3696, CP 3514, Fontana, Chaco",https://bioenergyweb.com.ar/,,https://www.instagram.com/bioenergysa/,https://www.linkedin.com/company/bioenergy-s-a/,,"Canadá, Paraguay, Brasil, Uruguay | Interés: Bolivia, Chile",Ninguna,true,Secador de aceite al vacío,Secador de aceite al vacío,8419.31
Bioenenrgy S. a.,Bioenergy,30715092138,Isidoro Wojtun,ibw50@yahoo.com.ar,+54 9 362 4643566,"Marca comercial: Bioenergy.
Experiencia exportadora: Exportador esporádico (ha realizado alguna exportación en los últimos 5 años).
Cámaras/asociaciones: ADIMRA.
Rubro: Químicos / Chemicals.",Químicos,Chemicals,Fontana,"Comandante Fontana 3696, CP 3514, Fontana, Chaco",https://bioenergyweb.com.ar/,,https://www.instagram.com/bioenergysa/,https://www.linkedin.com/company/bioenergy-s-a/,,"Canadá, Paraguay, Brasil, Uruguay | Interés: Bolivia, Chile",Ninguna,true,Reactor de biodiesel,Reactor de biodiesel,8479.20
Bruno Maximiliano Valdez,La Pilarense Pastas,23356931009,Bruno Valdez,brunoovaldez@gmail.com,+54 9 362 4513579,"Marca comercial: La Pilarense Pastas.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Rubro: Alimentos y Bebidas.",Alimentos y Bebidas,,Resistencia,"Avenida Wilde 87, CP 3500, Resistencia, Chaco",,,https://instagram.com/lapilarensepastas/,,,,,true,"Tapas de empanadas para freír, tapas empanadas para horno y tapas empanadas estilo criollas. Tapas para pascualinas y tapas para pastelitos.","Tapas de empanadas para freír, tapas empanadas para horno y tapas empanadas estilo criollas. Tapas para pascualinas y tapas para pastelitos.",1901.20.00
Campagnola Muebles,Campagnola Muebles,20147998237,Nicolás Campagnola,nicolas@campagnolamuebles.com.ar,+54 9 364 4704072 / +54 9 364 4443611,"Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Cámaras/asociaciones: no.
Rubro: Muebles y Home Deco / Furniture and Deco.",Muebles y Home Deco,Furniture and Deco,P. R. Sáenz Peña,"Ruta Nacional 16, km, CP 3700, P. R. Sáenz Peña, Chaco",https://www.campagnolamuebles.com.ar,https://www.facebook.com/CampagnolaMuebles1/,https://www.instagram.com/campagnolamuebles/,,,,no,true,Asientos de madera,Asientos de madera,9401.00
Campagnola Muebles,Campagnola Muebles,20147998237,Nicolás Campagnola,nicolas@campagnolamuebles.com.ar,+54 9 364 4704072 / +54 9 364 4443611,"Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Cámaras/asociaciones: no.
Rubro: Muebles y Home Deco / Furniture and Deco.",Muebles y Home Deco,Furniture and Deco,P. R. Sáenz Peña,"Ruta Nacional 16, km, CP 3700, P. R. Sáenz Peña, Chaco",https://www.campagnolamuebles.com.ar,https://www.facebook.com/CampagnolaMuebles1/,https://www.instagram.com/campagnolamuebles/,,,,no,true,Mesas de madera,Mesas de madera,9403.60
Campagnola Muebles,Campagnola Muebles,20147998237,Nicolás Campagnola,nicolas@campagnolamuebles.com.ar,+54 9 364 4704072 / +54 9 364 4443611,"Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Cámaras/asociaciones: no.
Rubro: Muebles y Home Deco / Furniture and Deco.",Muebles y Home Deco,Furniture and Deco,P. R. Sáenz Peña,"Ruta Nacional 16, km, CP 3700, P. R. Sáenz Peña, Chaco",https://www.campagnolamuebles.com.ar,https://www.facebook.com/CampagnolaMuebles1/,https://www.instagram.com/campagnolamuebles/,,,,no,true,Sillones,Sillones,9401.61
Campagnola Muebles,Campagnola Muebles,20147998237,Nicolás Campagnola,nicolas@campagnolamuebles.com.ar,+54 9 364 4704072 / +54 9 364 4443611,"Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Cámaras/asociaciones: no.
Rubro: Muebles y Home Deco / Furniture and Deco.",Muebles y Home Deco,Furniture and Deco,P. R. Sáenz Peña,"Ruta Nacional 16, km, CP 3700, P. R. Sáenz Peña, Chaco",https://www.campagnolamuebles.com.ar,https://www.facebook.com/CampagnolaMuebles1/,https://www.instagram.com/campagnolamuebles/,,,,no,true,Buffet,Buffet,9403.60
Campagnola Muebles,Campagnola Muebles,20147998237,Nicolás Campagnola,nicolas@campagnolamuebles.com.ar,+54 9 364 4704072 / +54 9 364 4443611,"Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Cámaras/asociaciones: no.
Rubro: Muebles y Home Deco / Furniture and Deco.",Muebles y Home Deco,Furniture and Deco,P. R. Sáenz Peña,"Ruta Nacional 16, km, CP 3700, P. R. Sáenz Peña, Chaco",https://www.campagnolamuebles.com.ar,https://www.facebook.com/CampagnolaMuebles1/,https://www.instagram.com/campagnolamuebles/,,,,no,true,Muebles de madera de los tipos utilizados en dormitorios,Muebles de madera de los tipos utilizados en dormitorios,9403.50
Centroficina Servicios SRL,Wetala,30708184264,Elías González,ventas@wetala.ar,+54 9 362 4881070,"Marca comercial: Wetala.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Cámaras/asociaciones: Camara de Comercio Industria y Producción de Resistencia.
Rubro: Muebles y Home Deco / Furniture and Deco.",Muebles y Home Deco,Furniture and Deco,Resistencia,"Showroom: Corrientes 402 / Fábrica: Ruta Nacional 16, km 24,5 (Parque Industrial Puerto Tirol), CP 3500, Resistencia, Chaco",https://www.wetala.ar,https://www.facebook.com/Wetala.argentina/,https://www.instagram.com/wetala.argentina/,,,,no,true,Sillas giratorias de altura ajustable,Sillas giratorias de altura ajustable,9401.30
Centroficina Servicios SRL,Wetala,30708184264,Elías González,ventas@wetala.ar,+54 9 362 4881070,"Marca comercial: Wetala.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Cámaras/asociaciones: Camara de Comercio Industria y Producción de Resistencia.
Rubro: Muebles y Home Deco / Furniture and Deco.",Muebles y Home Deco,Furniture and Deco,Resistencia,"Showroom: Corrientes 402 / Fábrica: Ruta Nacional 16, km 24,5 (Parque Industrial Puerto Tirol), CP 3500, Resistencia, Chaco",https://www.wetala.ar,https://www.facebook.com/Wetala.argentina/,https://www.instagram.com/wetala.argentina/,,,,no,true,"Sillas con armazón de metal, con relleno","Sillas con armazón de metal, con relleno",9401.71
Centroficina Servicios SRL,Wetala,30708184264,Elías González,ventas@wetala.ar,+54 9 362 4881070,"Marca comercial: Wetala.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Cámaras/asociaciones: Camara de Comercio Industria y Producción de Resistencia.
Rubro: Muebles y Home Deco / Furniture and Deco.",Muebles y Home Deco,Furniture and Deco,Resistencia,"Showroom: Corrientes 402 / Fábrica: Ruta Nacional 16, km 24,5 (Parque Industrial Puerto Tirol), CP 3500, Resistencia, Chaco",https://www.wetala.ar,https://www.facebook.com/Wetala.argentina/,https://www.instagram.com/wetala.argentina/,,,,no,true,"Sillas con armazón de metal, sin relleno","Sillas con armazón de metal, sin relleno",9401.79
Centroficina Servicios SRL,Wetala,30708184264,Elías González,ventas@wetala.ar,+54 9 362 4881070,"Marca comercial: Wetala.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Cámaras/asociaciones: Camara de Comercio Industria y Producción de Resistencia.
Rubro: Muebles y Home Deco / Furniture and Deco.",Muebles y Home Deco,Furniture and Deco,Resistencia,"Showroom: Corrientes 402 / Fábrica: Ruta Nacional 16, km 24,5 (Parque Industrial Puerto Tirol), CP 3500, Resistencia, Chaco",https://www.wetala.ar,https://www.facebook.com/Wetala.argentina/,https://www.instagram.com/wetala.argentina/,,,,no,true,Muebles de oficina de metal,Muebles de oficina de metal,9403.10
Centroficina Servicios SRL,Wetala,30708184264,Elías González,ventas@wetala.ar,+54 9 362 4881070,"Marca comercial: Wetala.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Cámaras/asociaciones: Camara de Comercio Industria y Producción de Resistencia.
Rubro: Muebles y Home Deco / Furniture and Deco.",Muebles y Home Deco,Furniture and Deco,Resistencia,"Showroom: Corrientes 402 / Fábrica: Ruta Nacional 16, km 24,5 (Parque Industrial Puerto Tirol), CP 3500, Resistencia, Chaco",https://www.wetala.ar,https://www.facebook.com/Wetala.argentina/,https://www.instagram.com/wetala.argentina/,,,,no,true,Muebles de oficina de madera,Muebles de oficina de madera,9403.30
Conservas del NEA SRL,Isla del Cerrito,30715207024,Luciano José Pokorasky,isladelcerritodulces@gmail.com,+54 9 362 4257645,"Marca comercial: Isla del Cerrito.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Cámaras/asociaciones: no.
Rubro: Alimentos y Bebidas.",Alimentos y Bebidas,,Resistencia,"Necochea 1155, CP 3500, Resistencia, Chaco",https://www.isladelcerrito.com.ar,https://www.facebook.com/isladelcerritodulces/,https://www.instagram.com/dulcesisladelcerrito/,,https://drive.google.com/file/d/0B3MqqMwzH_b4THRiN3BzTmEtd1g0M0ZZT3A5Yml3bVRkWmo4/view,,Bromatología provincial,true,"Papaya en almíbar y mermelada de papaya. Se comercializa en frascos de vidrio de 3,75kg, 850g, 450g, 235g. Vencimiento 2 años sin abrir.","Papaya en almíbar y mermelada de papaya. Se comercializa en frascos de vidrio de 3,75kg, 850g, 450g, 235g. Vencimiento 2 años sin abrir.",2008.99.00
Consultora CyC,Linknea,30717441407,Valeria Lorena Cividini,linknea@gmail.com,+54 9 362 4864934,"Marca comercial: Linknea.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Cámaras/asociaciones: Cámara comercio resistenciq.
Rubro: Servicios / Services.",Servicios,Services,Resistencia,"Mendoza 1985, CP 3500, Resistencia, Chaco",https://www.linknea.com,https://www.facebook.com/Linknea/,https://www.instagram.com/link.nea/,,,,No,true,Consultoría en Recursos Humanos y Desarrollo Organizacional,Consultoría en Recursos Humanos y Desarrollo Organizacional,
COPAP,COPAP,30709533122,Daniel Hugo Codutti,danielcodutti@gmail.com,+54 9 3725 641804,"Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Rubro: Apicultura.",Apicultura,,Margarita Belén,"Mendez y Campo Colorado, CP 3505, Margarita Belén, Chaco",https://www.mielchacocopap.com.ar,https://www.facebook.com/mielchacocopap.com.ar/,,,,,,true,"Miel libre de gluten, organica fraccionada en diferentes presentaciones de vidrio y pet. planta de extraccion y fraccionado con habilitaciones de Senasa. HAccp","Miel libre de gluten, organica fraccionada en diferentes presentaciones de vidrio y pet. planta de extraccion y fraccionado con habilitaciones de Senasa. HAccp",0409.00.00
Fabián Gerardo Tannfeld,Raza Argentina Alfalfas S.R.L,20320616825,Fabián Tannfeld,fabiantannfeld@gmail.com,+54 9 3735 627594,"Marca comercial: Raza Argentina Alfalfas S.R.L.
Experiencia exportadora: Exportador frecuente (exporta regularmente).
Rubro: Agricultura y Cultivos.",Agricultura y Cultivos,,Villa Ángela,"Lisandro de la Torre 390, CP 3540, Villa Ángela, Chaco",,,https://www.instagram.com/razaargentina_/,,El manual de marca está en edición,Brasil | Interés: Países Árabes y Estados Unidos,,true,"Fardos de alfalfa deshidratada de alta calidad para alimentación animal y mercado internacional, prensada y acondicionada bajo estrictos controles de calidad.","Fardos de alfalfa deshidratada de alta calidad para alimentación animal y mercado internacional, prensada y acondicionada bajo estrictos controles de calidad.",1214.90.00
Grupo Argento SRL,Hecho en Casa,30717741680,Cristian Eduardo Raris,argentoresistencia@gmail.com,+54 9 362 4607685,"Marca comercial: Hecho en Casa.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Rubro: Alimentos y Bebidas.",Alimentos y Bebidas,,Resistencia,"Obligado 2200, CP 3500, Resistencia, Chaco",,,https://www.instagram.com/hechoencasachaco/,,"(ruta de archivo local, sin link web)",,,true,"Tartas y empanadas ""VEGANAS"" envasadas al vacio, frutos secos envasados al vacio","Tartas y empanadas ""VEGANAS"" envasadas al vacio, frutos secos envasados al vacio",1905.90.90
Grupo Nuñez S.A.S.,Nz Agro,33718133039,Leonardo Nuñez,agrointegral.nz@gmail.com,+54 9 381 4469019,"Marca comercial: Nz Agro.
Experiencia exportadora: Exportador frecuente (exporta regularmente).
Rubro: Agricultura y Cultivos.",Agricultura y Cultivos,,Charata,"Moreno 688, CP 3731, Charata, Chaco",,,https://www.instagram.com/nzagro_/,,,"Vietnam, EEUU, Brasil | Interés: Bolivia, Ecuador, México, Venezuela, China, Alemania, Francia, Italia, Chile, Uruguay",,true,Commodities y especialidades,Commodities y especialidades,1201.90.00
GVS Consultora,GVS Consultora,27271939898,Verónica Soledad Giménez,capacitacion@gvsconsultora.com,+54 9 362 4222793,"Experiencia exportadora: Exportador esporádico (ha realizado alguna exportación en los últimos 5 años).
Cámaras/asociaciones: CAMECH.
Rubro: Servicios / Services.",Servicios,Services,Resistencia,"Heraclio Pérez 2850, CP 3500, Resistencia, Chaco",https://www.gvsconsultora.ar,https://www.facebook.com/GuiandoTuFormacion/,https://www.instagram.com/gvsconsultora/,,,"Paraguay | Interés: España, Mexico, Chile, Uruguay","Certificacion Profesional en Incubacion de Empresas (Universidad de Salamanca y Doinglobal), Certificada como Formadora en Género (ONU Mujeres)Analista Certificado PDA (en curso), Certificación Oficial Kirkpatrick: Especializada en Evaluación y Ajuste (en curso),",true,Outsourcing de capacitación. Virtualización. Desarrollo de software,Outsourcing de capacitación. Virtualización. Desarrollo de software,
Heffner Oil SRL,Heffner Oil,30718115279,Waldo Daniel Heffner,waldo.heffner@heffneroil.com,+54 9 364 4541414,"Marca comercial: Heffner Oil.
Experiencia exportadora: Exportador frecuente (exporta regularmente).
Cámaras/asociaciones: NINGUNA.
Rubro: Químicos / Chemicals.",Químicos,Chemicals,P. R. Sáenz Peña,"F. Pibernus 2065 (Planta de Producción: Parque Industrial P. R. Sáenz Peña), CP 3700, P. R. Sáenz Peña, Chaco",https://www.heffneroil.com,https://www.facebook.com/HEFFNEROIL/,https://www.instagram.com/heffneroil/,,,"Alemania, Holanda, Reino Unido, Japon, Estados Unidos, Rusia, Etc | Interés: China, India, Suiza, España, Brasil, Taiwan, Corea del Sur","CERTIFICADOS CITES, IFRA, CG-MASA, HOJA DE SEGURIDAD, REACH",true,Aceite esencial de palo santo (Bulnesia sarmientoi),Aceite esencial de palo santo (Bulnesia sarmientoi),3301.29
Juan Galarza,Argentum Woods,20166464871,Juan Vicente Galarza,tramercosur@yahoo.com.ar,+54 9 362 4178237,"Marca comercial: Argentum Woods.
Experiencia exportadora: Exportador frecuente (exporta regularmente).
Cámaras/asociaciones: ninguna.
Rubro: Maderas / Woods.",Maderas,Woods,Resistencia,"José Hernández 270. Piso 8, Dpto. Z, CP 3500, Resistencia, Chaco",https://www.carbonex.com.ar,,,,,"EEUU, España, Israel, Emiratos Árabes | Interés: EEUU Emiratos Árabes, Canada, Japon, Corea del Sur",senasa,true,Carbón vegetal,Carbón vegetal,4402.90
Juan Galarza,Argentum Woods,20166464871,Juan Vicente Galarza,tramercosur@yahoo.com.ar,+54 9 362 4178237,"Marca comercial: Argentum Woods.
Experiencia exportadora: Exportador frecuente (exporta regularmente).
Cámaras/asociaciones: ninguna.
Rubro: Maderas / Woods.",Maderas,Woods,Resistencia,"José Hernández 270. Piso 8, Dpto. Z, CP 3500, Resistencia, Chaco",https://www.carbonex.com.ar,,,,,"EEUU, España, Israel, Emiratos Árabes | Interés: EEUU Emiratos Árabes, Canada, Japon, Corea del Sur",senasa,true,Maderas Dimensionadas,Maderas Dimensionadas,4401.90
Lufe SAS,La Mancera,20374691660,Federico Kory,federicok@lamancera.com,+54 9 362 4698724,"Marca comercial: La Mancera.
Experiencia exportadora: Exportador potencial (no exporta / nunca exportó).
Rubro: Alimentos y Bebidas.",Alimentos y Bebidas,,Fontana,"Almirante Brown 900, CP 3514, Fontana, Chaco",https://www.lamancera.com,,https://www.instagram.com/lamancera.arg/,,,,,true,"aceite comestible, girasol, soja, algodon","aceite comestible, girasol, soja, algodon",1512.11.00
