Razón social,Sector / Rubro principal,Descripción del producto o servicio exportable,NCM original (cargado),NCM propuesto (validado),Confianza,Nota de clasificación / fuente,NCM validado
Bruno Maximiliano Valdez,Alimentos y Bebidas,"Tapas de empanadas para freír, tapas empanadas para horno y tapas empanadas estilo criollas. Tapas para pascualinas y tapas para pastelitos.",,1901.20.00,Media,"Tapas de empanadas/pascualinas/pastelitos (masa cruda para hornear/freír): no tenía NCM. Se propone 1901.20.00 'mezclas y pastas para la preparación de productos de panadería, pastelería o galletería de la partida 19.05'. Confirmar presentación (fresca/congelada) con despachante.",
Campagnola Muebles,Muebles y Home Deco / Furniture and Deco,9401.00: Asientos de madera 9403.60: Mesas de madera 9401.61: Sillones 9403.60: Buffet 9403.50: Muebles de madera de los tipos utilizados en dormitorios,,9401.61.00 / 9403.60.00 / 9403.50.00,Alta,Muebles de madera: los códigos ya cargados son consistentes con el capítulo 94 (asientos y muebles de madera). Solo se normaliza formato con puntos.,
Centroficina Servicios SRL,Muebles y Home Deco / Furniture and Deco,"9401.30: Sillas giratorias de altura ajustable 9401.71: Sillas con armazón de metal, con relleno 9401.79: Sillas con armazón de metal, sin relleno 9403.10: Muebles de oficina de metal 9403.30: Muebles de oficina de madera",,9401.30.00 / 9401.71.00 / 9401.79.00 / 9403.10.00 / 9403.30.00,Alta,Muebles de oficina: los códigos ya cargados son correctos y consistentes con el capítulo 94. Solo normalización de formato.,
Conservas del NEA SRL,Alimentos y Bebidas,"Papaya en almíbar y mermelada de papaya. Se comercializa en frascos de vidrio de 3,75kg, 850g, 450g, 235g. Vencimiento 2 años sin abrir.",,2008.99.00 / 2007.99.00,Media,"No tenía NCM. Papaya en almíbar = fruta conservada de otro modo, 2008.99.00 ('las demás'). Mermelada de papaya = 2007.99.00 (confituras/mermeladas de otras frutas).",
Consultora CyC,Servicios / Services,Consultoría en Recursos Humanos y Desarrollo Organizacional,,Sin NCM — servicio,N/A,"Consultoría en RRHH es un servicio, no lleva NCM.",
COPAP,Apicultura,"Miel libre de gluten, organica fraccionada en diferentes presentaciones de vidrio y pet. planta de extraccion y fraccionado con habilitaciones de Senasa. HAccp",,0409.00.00,Alta,Miel (apicultura). No tenía NCM cargado; posición única y confirmada.,
Fabián Gerardo Tannfeld,Agricultura y Cultivos,"Fardos de alfalfa deshidratada de alta calidad para alimentación animal y mercado internacional, prensada y acondicionada bajo estrictos controles de calidad.",12149000,1214.90.00,Alta,El valor original ('12149000') solo necesitaba el formato con puntos. Fardos de alfalfa deshidratada prensada (no pellets) = 1214.90.00 'los demás' de la partida 12.14 (si fuera pellets/harina de alfalfa sería 1214.10.00).,
Grúas San Blas SA,Alimentos y Bebidas,"Miel fraccionada y en tambores, tanto convencional como orgánica. Certificada bajo norma FSSC 22000.","0409911X, 0409190C",0409.00.00,Baja,"Los códigos originales ('0409911X', '0409190C') tienen formato inválido: la partida 04.09 no tiene subaperturas 0409.91 ni 0409.19 a nivel de Sistema Armonizado, solo existe 0409.00.00 con sufijos SIM nacionales (ej. .110C envases ≤1kg, .900F granel/tambores). Se recomienda confirmar el sufijo exacto según presentación (fraccionada vs. tambores) con despachante. ADEMÁS: el CUIT de esta fila (30660920451) es IDÉNTICO al de 'Argenmieles / Mieles del Chaco' (fila 6) — posible error de carga o mismo titular con dos nombres comerciales, conviene verificar.",
Grupo Argento SRL,Alimentos y Bebidas,"Tartas y empanadas ""VEGANAS"" envasadas al vacio, frutos secos envasados al vacio",,1905.90.90 / 0802.90.00,Media,"No tenía NCM. Tartas/empanadas veganas envasadas al vacío = producto de panadería/pastelería, 1905.90.90 (si están cocidas/horneadas). Frutos secos envasados al vacío = 0802.90.00 si son crudos/secos sin procesar; si están tostados/salados corresponde 2008.19.00. Confirmar tipo de fruto seco y proceso.",
Grupo Nuñez S.A.S.,Agricultura y Cultivos,Commodities y especialidades,"1201.90.00, 1208.10.00, 1507.10.00, 0713.31.90.900N, 1214.90.00, 1005.90.10,",1201.90.00 / 1208.10.00 / 1507.10.00 / 0713.31.90.900N / 1214.90.00 / 1005.90.10,Alta,"Los 6 códigos ya cargados son coherentes con productos de agro-commodities (soja, harina de soja, aceite crudo de soja, porotos, alfalfa, maíz). Solo se quita la coma final sobrante.",
GVS Consultora,Servicios / Services,Outsourcing de capacitación. Virtualización. Desarrollo de software,S17,Sin NCM — servicio,N/A,"El valor 'S17' no es una posición NCM válida — la NCM aplica solo a mercaderías, no a servicios (capacitación, virtualización, desarrollo de software). Para exportación de servicios corresponde usar el nomenclador de servicios del BCRA/AFIP, no un código inventado tipo 'S17'. Se recomienda dejarlo en blanco o consultar la codificación correcta con el organismo pertinente.",
Heffner Oil SRL,Químicos / Chemicals,3301.29: Aceite esencial de palo santo (Bulnesia sarmientoi),3301.29.13,3301.29.13,Media,"Aceite esencial de palo santo: el código ya cargado es consistente con la partida 33.01 (aceites esenciales, 'los demás'). Al ser un producto característico del Chaco, se recomienda confirmar el sufijo nacional exacto '.13' con despachante, pero la base 3301.29 es correcta.",
Juan Galarza,Maderas / Woods,4402.90: Carbón vegetal 4401.90: Maderas Dimensionadas,44020090 0701900 070310,4402.90.00 / 4407.99.00,Baja,"El valor original ('44020090 0701900 070310') mezclaba 3 códigos sin separar Y dos de ellos (0701.90 = papas/patatas, 0703.10 = cebollas y ajos) NO tienen relación alguna con el rubro madera/carbón de esta empresa — confirma exactamente la mezcla de datos que mencionás, probablemente de otra fila de agro. Carbón vegetal = 4402.90.00 (correcto). 'Maderas dimensionadas' (madera aserrada a medida) NO es 4401.90 (que es leña/astillas/aserrín) sino que corresponde al capítulo 44.07 'madera aserrada o desbastada longitudinalmente', propuesto 4407.99.00 'los demás' a confirmar según especie.",
Lufe SAS,Alimentos y Bebidas,"aceite comestible, girasol, soja, algodon",,1512.11.00-19 / 1507.10.00-90 / 1512.21.00-29,Media,"No tenía NCM. Aceite de girasol = partida 15.12 (crudo 1512.11, refinado 1512.19); aceite de soja = partida 15.07 (crudo 1507.10, refinado 1507.90); aceite de algodón = partida 15.12 (crudo 1512.21, refinado 1512.29). El sufijo exacto depende de si el aceite es crudo o refinado — confirmar con despachante.",
Maria Jimena Monticelli,Servicios Basados en el Conocimiento,Servicios para Gestion de Capital Humano,,Sin NCM — servicio,N/A,"Gestión de capital humano es un servicio, no lleva NCM.",
Monotributista,Muebles y Deco,"Diseño y fabricación de productos decorativos, en madera combinada con resina, con estándares de exportación",,4420.90.00 ,Baja,"No tenía NCM. Productos decorativos de madera combinada con resina: la clasificación depende de qué material le da 'el carácter esencial' al producto (Regla General Interpretativa 3b). Tentativamente 4420.90.00 (manufacturas de madera) si predomina la madera, o capítulo 39 (plásticos/resinas) si predomina la resina. Requiere análisis técnico de despachante.",
Natalia Silva,Servicios Basados en el Conocimiento,"Servicios de consultoría en estructura digital orientados a la organización, optimización y profesionalización de negocios y proyectos. Especialización en estrategia digital, eCommerce, experiencia de usuario, comunicación visual, onboarding comercial, organización de procesos digitales y articulación entre tecnología, negocio y comunicación.",,Sin NCM — servicio,N/A,"Consultoría en estructura digital / eCommerce es un servicio, no lleva NCM.",
Natural Gums SA,Alimentos y Bebidas,"Harina de Arroz, harina de arroz Integral, Semola de Arroz, rebozador de arroz y otros",,1102.90.00 / 1103.19.00 / 1901.90.90,Media,No tenía NCM. Harina de arroz = 1102.90.00 ('las demás harinas de cereales'); sémola de arroz = 1103.19.00 ('grañones y sémola de los demás cereales'); rebozador de arroz (preparación) = 1901.90.90. Confirmar aperturas nacionales exactas con despachante.,
Ojeda Cipolletti Jorgelina Araceli,Alimentos y Bebidas,"Blends de té (Mezcla de té en hebras y tisanas) con diferentes ingredientes especias, flores, frutos, hierbas. Y hebras puras.",,1905.90.90,Media,"Chipá congelado: mismo criterio que fila 8, producto de panadería no especificado, 1905.90.90 a confirmar.",
Pablo Daniel Jatchuk,Alimentos y Bebidas,Chipa congelado y otros,,1905.90.90,Media,"Panificados (pan de miga, lactal, pancho, hamburguesa, pre-pizza): sin NCM cargado. Se propone 1905.90.90 'los demás productos de panadería'. Confirmar si existe apertura nacional específica para pan lactal/miga.",
Plus Ultra SRL,Alimentos y Bebidas,"Panificadora especializada en pan de miga, pan lactal, pan de pancho, pan de hamburguesa, pre pizza.",,0902.30.00 / 2106.90.90,Baja,"No tenía NCM. Té puro en hebras (Camellia sinensis) = partida 09.02 (ej. 0902.30.00 té negro fraccionado ≤3kg). Los BLENDS con especias/flores/frutos (tisanas/infusiones que no son té puro) suelen NO clasificar en 09.02 sino en 21.06 'preparaciones alimenticias n.e.p.', ej. 2106.90.90. Esta distinción es relevante y requiere confirmación por despachante según composición exacta de cada blend.",
Roxana Patricia Vagabculow,Salud y Farmacia,"Tabla Canadiense para entrenamiento funcional y motricidad fina de la mano y miembro superior, con accesorios intercambiables. Uso didáctico para instituciones educativas y profesionales de rehabilitación.",9019.10.00,9019.10.00,Media,"El código ya cargado (9019.10.00, aparatos de mecanoterapia) es razonable dado el uso en rehabilitación mencionado. Si el uso predominante fuera puramente educativo/deportivo podría corresponder a 9506.91 (artículos de gimnasia) — confirmar uso principal con despachante.",
Torres Giselle Marisel,Alimentos y Bebidas,Alfajores Regionales,,1905.31.00,Media,"Alfajores: no tenía NCM. Se propone 1905.31.00 'galletitas dulces (con adición de edulcorante)', clasificación habitual usada por exportadores argentinos de alfajores.",
Unitán S.A.I.C.A.,Curtientes y Taninos,"3201.10: Curtientes Vegetales
3202.90: Aditivos para cartones/
3202.90: Aditivos para papeles
3202.90: Aditivos para maderas
3201.90: Taninos para el Azúcar
3824.90: Flotación de minerales
3811.90:Dispersantes
3203.00: Colorantes textiles naturales",,3201.10.00 / 3202.90.00 / 3201.90.00 / 3824.90.00 / 3811.90.00 / 3203.00.00,Alta,"Curtientes vegetales y taninos (Unitán es un exportador histórico de extracto de quebracho): los 7 códigos ya cargados son coherentes con el rubro (partidas 32.01, 32.02, 32.03, 38.11, 38.24). Solo se normaliza el formato, reemplazando saltos de línea por separadores.",
Veronelli Ethel Carolina Alexandra,Alimentos y Bebidas,"D'Benizio Alfajores Chaqueños: marca dedicada a la elaboración de alfajores premium, ingredientes seleccionados y recetas exclusivas.",,1905.31.00,Media,"Alfajores (D'Benizio): mismo criterio que fila 32, 1905.31.00 a confirmar.",
Ariel Eduardo Ivars Torres,Alimentos y Bebidas,Pescados de Mar y Rio,,0303.89.00 / 0304.99.00 ,Baja,Descripción demasiado genérica ('Pescados de Mar y Río') para asignar una posición precisa: el capítulo 03 varía mucho según especie y presentación (entero fresco/congelado vs. filete). Se recomienda pedir a la empresa que especifique especie y forma de presentación antes de cargar el NCM definitivo.,
